movieId,Adventure,Animation,Children,Comedy,Fantasy,Romance,Drama,Action,Crime,Thriller,Horror,Mystery,Sci-Fi,War,Musical,Documentary,IMAX,Western,Film-Noir,no genres listed,average_rating
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.813953488372093
3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.173076923076923
6,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.872549019607843
47,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3.857142857142857
50,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,4.102941176470588
70,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,3.4
101,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.608695652173913
110,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3.919831223628692
151,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3.5
157,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.8181818181818183
163,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.4696969696969697
216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.224489795918368
223,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.730769230769231
231,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9323308270676693
235,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.585714285714286
260,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4.131474103585657
296,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4.09771986970684
316,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.2928571428571427
333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68
349,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3.5727272727272728
356,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.057750759878419
362,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.411764705882353
367,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3.0955414012738856
423,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.8
441,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.761904761904762
457,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9105263157894736
480,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3.672268907563025
